task_id,task_name,vm_name,vm_ip,status,execution_time,worker_time,message
0,task-6,vm4,10.15.42.80,success,26.939258098602295,2.2798,task-6 run successfully
1,task-5,vm3,10.15.42.79,success,2.7832911014556885,2.7465,task-5 run successfully
2,task-8,vm2,10.15.42.78,success,15.265456914901733,14.19,task-8 run successfully
3,task-2,vm1,10.15.42.77,success,2.1772449016571045,1.9193,task-2 run successfully
4,task-10,vm4,10.15.42.80,success,6.666522979736328,6.4149,task-10 run successfully
5,task-3,vm3,10.15.42.79,success,19.838407039642334,1.0046,task-3 run successfully
6,task-4,vm4,10.15.42.80,success,19.56673264503479,1.0603,task-4 run successfully
7,task-4,vm3,10.15.42.79,success,13.516622304916382,1.7492,task-4 run successfully
8,task-7,vm1,10.15.42.77,success,24.959598064422607,23.0007,task-7 run successfully
9,task-3,vm3,10.15.42.79,success,20.89383101463318,1.0117,task-3 run successfully
10,task-9,vm3,10.15.42.79,success,11.775156021118164,8.9208,task-9 run successfully
11,task-1,vm2,10.15.42.78,success,15.40660834312439,0.2358,task-1 run successfully
12,task-7,vm3,10.15.42.79,success,18.95597815513611,5.3771,task-7 run successfully
13,task-9,vm4,10.15.42.80,success,24.67913579940796,5.0697,task-9 run successfully
14,task-1,vm4,10.15.42.80,success,0.1278519630432129,0.0968,task-1 run successfully
15,task-8,vm4,10.15.42.80,success,18.539335012435913,4.0011,task-8 run successfully
16,task-2,vm2,10.15.42.78,success,1.0730090141296387,0.9261,task-2 run successfully
17,task-5,vm4,10.15.42.80,success,8.305367231369019,1.6919,task-5 run successfully
18,task-6,vm2,10.15.42.78,success,23.243149042129517,7.8091,task-6 run successfully
19,task-10,vm4,10.15.42.80,success,14.536956071853638,6.2318,task-10 run successfully
